Title
Rank,School,Score,Expeditures,Income  
1,Somers School District,0.31,"$20,087 ","$106,305 "
2,Windsor School District,0.31,"$23,595 ","$92,079 "
3,Regional School District 04,0.32,"$24,097 ","$89,964 "
4,Litchfield School District,0.59,"$24,803 ","$87,241 "
5,Oxford School District,0.85,"$20,017 ","$106,089 "
6,Preston School District,1.06,"$24,275 ","$87,885 "
7,Salem School District,1.08,"$20,776 ","$104,725 "
8,Barkhamsted School District,1.17,"$21,087 ","$103,500 "
9,Bloomfield School District,1.81,"$26,177 ","$79,134 "
10,Old Saybrook School District,1.91,"$24,340 ","$86,802 "
11,Suffield School District,1.92,"$19,497 ","$110,938 "
12,West Hartford School District,1.93,"$20,850 ","$105,230 "
13,Lebanon School District,1.95,"$21,818 ","$97,422 "
14,Granby School District,1.95,"$19,407 ","$111,347 "
15,Berlin School District,1.96,"$20,715 ","$102,075 "
16,Deep River School District,1.97,"$26,711 ","$80,495 "
17,Colchester School District,2.01,"$20,232 ","$107,914 "
18,North Branford School District,3.01,"$21,910 ","$96,019 "
19,Regional School District 07,3.07,"$22,085 ","$101,098 "
20,New Hartford School District,3.67,"$21,677 ","$103,400 "
21,North Haven School District,3.73,"$19,666 ","$104,812 "
22,Salisbury School District,4.02,"$29,035 ","$72,632 "
23,Milford School District,4.51,"$23,705 ","$95,627 "
24,Waterford School District,4.57,"$22,822 ","$90,670 "
25,East Windsor School District,4.64,"$25,647 ","$78,667 "
26,East Haddam School District,5.84,"$23,994 ","$95,685 "
27,Voluntown School District,5.89,"$23,962 ","$84,583 "
28,Guilford School District,6.3,"$21,127 ","$108,243 "
29,Stamford School District,6.31,"$20,957 ","$96,885 "
30,Eastford School District,6.32,"$23,880 ","$96,625 "
31,Stonington School District,6.6,"$21,728 ","$93,349 "
32,Regional School District 16,6.84,"$19,959 ","$100,597 "
33,Franklin School District,6.92,"$25,139 ","$91,875 "
34,Hampton School District,7.02,"$28,833 ","$76,364 "
35,Marlborough School District,7.17,"$20,069 ","$113,547 "
36,East Lyme School District,7.42,"$20,910 ","$96,023 "
37,Brookfield School District,7.83,"$19,333 ","$117,292 "
38,Ashford School District,8.35,"$23,328 ","$84,909 "
39,Regional School District 17,8.64,"$22,011 ","$106,741 "
40,Regional School District 15,8.69,"$21,522 ","$108,864 "
41,Norwalk School District,8.91,"$22,119 ","$89,486 "
42,Regional School District 14,9.66,"$23,807 ","$100,129 "
43,Farmington School District,9.67,"$20,107 ","$97,262 "
44,Clinton School District,9.69,"$21,741 ","$90,332 "
