studentenrollmentbyell2008-2021
District,FIPS,Year,Learner,Variable,Type,Value
Achievement First Bridgeport Academy District,,2007-2008,Non-English Language Learner,Student Enrollment,Number,85
Achievement First Bridgeport Academy District,,2007-2008,English Language Learner,Student Enrollment,Number,0
Achievement First Bridgeport Academy District,,2008-2009,Non-English Language Learner,Student Enrollment,Number,-9999
Achievement First Bridgeport Academy District,,2008-2009,English Language Learner,Student Enrollment,Number,-9999
Achievement First Bridgeport Academy District,,2009-2010,Non-English Language Learner,Student Enrollment,Number,223
Achievement First Bridgeport Academy District,,2009-2010,English Language Learner,Student Enrollment,Number,15
Achievement First Bridgeport Academy District,,2010-2011,Non-English Language Learner,Student Enrollment,Number,377
Achievement First Bridgeport Academy District,,2010-2011,English Language Learner,Student Enrollment,Number,32
Achievement First Bridgeport Academy District,,2011-2012,Non-English Language Learner,Student Enrollment,Number,478
Achievement First Bridgeport Academy District,,2011-2012,English Language Learner,Student Enrollment,Number,65
Achievement First Bridgeport Academy District,,2012-2013,Non-English Language Learner,Student Enrollment,Number,625
Achievement First Bridgeport Academy District,,2012-2013,English Language Learner,Student Enrollment,Number,77
Achievement First Bridgeport Academy District,,2013-2014,Non-English Language Learner,Student Enrollment,Number,734
Achievement First Bridgeport Academy District,,2013-2014,English Language Learner,Student Enrollment,Number,101
Achievement First Bridgeport Academy District,,2014-2015,Non-English Language Learner,Student Enrollment,Number,868
Achievement First Bridgeport Academy District,,2014-2015,English Language Learner,Student Enrollment,Number,109
Achievement First Bridgeport Academy District,,2015-2016,Non-English Language Learner,Student Enrollment,Number,888
Achievement First Bridgeport Academy District,,2015-2016,English Language Learner,Student Enrollment,Number,128
Achievement First Bridgeport Academy District,,2016-2017,Non-English Language Learner,Student Enrollment,Number,913
Achievement First Bridgeport Academy District,,2016-2017,English Language Learner,Student Enrollment,Number,131
Achievement First Bridgeport Academy District,,2017-2018,Non-English Language Learner,Student Enrollment,Number,941
Achievement First Bridgeport Academy District,,2017-2018,English Language Learner,Student Enrollment,Number,121
Achievement First Bridgeport Academy District,,2018-2019,Non-English Language Learner,Student Enrollment,Number,962
Achievement First Bridgeport Academy District,,2018-2019,English Language Learner,Student Enrollment,Number,131
Achievement First Bridgeport Academy District,,2019-2020,Non-English Language Learner,Student Enrollment,Number,962
Achievement First Bridgeport Academy District,,2019-2020,English Language Learner,Student Enrollment,Number,148
Achievement First Bridgeport Academy District,,2020-2021,Non-English Language Learner,Student Enrollment,Number,997
Achievement First Bridgeport Academy District,,2020-2021,English Language Learner,Student Enrollment,Number,130
Achievement First Hartford Academy District,,2007-2008,Non-English Language Learner,Student Enrollment,Number,-6666
Achievement First Hartford Academy District,,2007-2008,English Language Learner,Student Enrollment,Number,-6666
Achievement First Hartford Academy District,,2008-2009,Non-English Language Learner,Student Enrollment,Number,261
Achievement First Hartford Academy District,,2008-2009,English Language Learner,Student Enrollment,Number,0
Achievement First Hartford Academy District,,2009-2010,Non-English Language Learner,Student Enrollment,Number,419
Achievement First Hartford Academy District,,2009-2010,English Language Learner,Student Enrollment,Number,21
